"ID","ShowInMobileTech","Code","Description"
"396","True","MS10","Miscellaneous Labor"
"397","True","AH119","Repair Burnt Wire(s) or Loose Connection"
"398","True","AH126","Low Voltage Fuse Replacement"
"399","True","AH137","Armaflex Replacement at A/H Where Accessible"
"400","True","DR501","Ignitor Replacment (HSI)"
"402","True","CG209","Gas Supply Flex Line Replacment."
"405","True","CG205","Regulator Replacement (Difficult Access)"
"406","True","WH101","Replace Upper and/ or Lower Heating Element"
"407","True","DW616","Address Water Leak (Tub- Door - Etc)"
"408","True","WH102","Difficult or Lengthy Tank Draining"
"409","True","CG203","Safety Valve Replacment"
"410","True","CG210","Thermocouple Replacment"
