"ID","Code","Description","PromptCode","Qualification","WarrantyCategory","InstallationEstimate","InstallationNotes","ShowSerialInventory","ShowItemInventory","ShowInvoicing","ProductMinorCode","Points","ShowOnSvcReq","SBProduct","SamsungProduct","ServicePowerProduct","UserCode","SafetyWeeksA","SafetyWeeksB","SafetyWeeksC","SafetyWeeksD","DispatchMeProduct","AvalaraTaxCode"
"20","WASHF","FRONT-LOAD WASHER","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"21","DRGAS","GAS DRYER","003","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"22","DRELE","ELECTRIC DRYER","004","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"23","MWOTR","MICROWAVE VENTHOOD","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"24","MWBI","BUILT-IN MICROWAVE OVEN","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"25","MW","MICROWAVE OVEN","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"26","REFWI","WINE REFRIGERATION","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"27","IRON","ROTARY IRON","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"29","VHINS","HOOD INSERT","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"30","VHOOD","WALL VENT HOOD","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"31","VHBLO","VENTILATOR BLOWER","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"32","ACAH","AIR HANDLER","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"34","ACCON","OUTDOOR AC UNIT","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"35","ACKW","HEAT STRIP","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"36","DISP","GARBAGE DISPOSAL","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"37","WH","WATER HEATER","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"38","SINK","SINK","SINK","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"39","FCET","FAUCET","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"40","ACC","ACCESSORIES","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"41","WD","WARMING DRAWER","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"42","LIFTD","LIFT DOOR","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"43","COFFE","COFFEE SYSTEM","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"44","OVSTE","STEAM OVEN","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"45","GRIND","INDOOR GRILL","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"46","GROUT","OUTDOOR GRILL","007","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"47","OVSPE","SPEEDCOOK OVEN","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"48","WDCOM","WASHER/DRYER COMBO","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"49","RECOM","COMPACT REFRIGERATION","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"50","REBIS","B/I SIDE X SIDE REFRIGERATOR","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"51","REBIB","B/I BOTTOM MOUNT","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"55","RADF","DUAL FUEL RANGE","006","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"56","OVMW","MICROWAVE/OVEN COMBO","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"57","VHDD","RETRACTABLE DOWNDRAFT VENT","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"58","MWCON","COUNTER MW/CONVECT OVEN","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"59","COMP","TRASH COMPACTOR","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"60","WAC","WINDOW AIR CONDITIONER","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"61","DEHUM","DEHUMIDIFIER","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
